User ID,Predicted User Category,Recommended News Category,Recommended Article
U4058,user_2,Crime,Listen To Angry Woman Dial 911 Over Wrong Pizza Toppings
U1118,user_1,Tech,The Online Funeral
U6555,user_1,Tech,The Top Laptop Deals Of Black Friday 2015
U9170,user_1,Tech,"After Canceling Panel On Harassment, SXSW Now Considering Day-Long Event"
U3348,user_1,Tech,WATCH: The Major Problem With Dating Apps
U2244,user_3,Entertainment,"With 'One Mississippi,' The Moment For Women Storytellers Is Now"
U3022,user_3,Entertainment,5 Reasons We Love Jennifer Lawrence
U5291,user_1,Tech,A Little Apple Goes A Long Way
U1945,user_3,Entertainment,Garth Brooks' Tour Gets a Makeover
U6084,user_3,Entertainment,"Trump Excels at Business, But He Has No Business in International Politics"
U3714,user_2,Crime,Kelly Armstrong Case: Victim's Family Claims Victory With Murder Charge Against Travis Funke
U0498,user_1,Tech,Germany Will Now Require 'Black Boxes' In Self-Driving Cars
U4264,user_3,Entertainment,Fans Raise Lightsabers Around The Country In Tribute To Carrie Fisher
U8953,user_1,Tech,Meg Whitman's Pay Package Tops $15 Million After HP Posts Net Loss In 2012
U3285,user_3,Entertainment,People Are Joking That The Patriots Will Win Super Bowl Despite Scoring Less
U0969,user_2,Crime,Court Rules Adnan Syed Of 'Serial' Podcast Has The Right To A New Trial
U0173,user_3,Entertainment,Willow Smith Tells A Shocked Jada Pinkett Smith She Self-Harmed As A Preteen
U9103,user_1,Tech,'iPhone 5S' With Fingerprint Detection In August And The 'iWatch' By Christmas?: This Week In Apple Rumors
U8708,user_2,Crime,Video Captures Courthouse Beating Of Inmate Accused of Killing Chicago Child
U3330,user_2,Crime,Family Wants Officer Recognized As Boston Marathon Bombers' 5th Victim
U3257,user_1,Tech,Your Favorite Pokemon Will Brutalize Each Other In New Wii U Game
U1008,user_1,Tech,"IPhone 5 Announcement All But Confirmed, IPad Mini In Tow? This Week In Apple Rumors"
U4124,user_2,Crime,LAPD Finds Huge Arsenal In Man's Home While Investigating His Death
U9836,user_2,Crime,Ex-Yahoo Engineer Admits To Hacking Thousands Of Accounts For Sexual Images
U2898,user_1,Tech,Bad Technology Is Failing Good People -- But That's Changing
U4765,user_1,Tech,Watch The Top 9 YouTube Videos Of The Week
U2663,user_2,Crime,Bank Executive's Attempt To Keep DUI Out Of The Paper Backfires Spectacularly
U4905,user_3,Entertainment,Nick Kroll And John Mulaney Rip On Donald Trump At Spirit Awards
U0669,user_3,Entertainment,Kim Kardashian Thought Her Career Was Over After Divorce From Kris Humphries
U0607,user_2,Crime,"Truck Slams Into Mardi Gras Parade Crowd In New Orleans, Injuring Dozens"
U1623,user_3,Entertainment,This Is What It Would Be Like To Buy A Cat From Christopher Walken
U9607,user_3,Entertainment,See All The Winners From The MTV Movie Awards Without Even Watching The Show
U6362,user_1,Tech,Here's Beautiful Drone Footage Of Your Next Vacation Spot
U1527,user_3,Entertainment,Celebrities React To The Death Of Tom Petty
U1000,user_3,Entertainment,"Listen Up, Academy Members: Here's What The Oscar Nominations Should Look Like"
U6935,user_1,Tech,Welcome to Larry Page’s Secret Flying-Car Factories
U8493,user_3,Entertainment,'The Legend Of Hercules' -- Formerly Titled 'Hercules: The Legend Begins' -- Gets New Trailer
U6577,user_3,Entertainment,Will Forte's Half-Shaven Head And Face Look Is So Chic It Hurts
U8473,user_1,Tech,'Gangnam Style' YouTube Views: Psy's Viral Hit Beats Bieber To Become Most-Viewed YouTube Video Ever
U7151,user_2,Crime,Desperate Housewives: The Kennebunk Episode
U9112,user_1,Tech,BlackBerry Maker RIM Reportedly Considers Splitting Off Smartphone Business
U8515,user_2,Crime,Former WWF Wrestler Severely Beaten Outside California Home
U8666,user_1,Tech,"How Digital Platforms Like LinkedIn, Uber And TaskRabbit Are Changing The On-Demand Economy"
U4856,user_2,Crime,Man Allegedly Punches Disabled Veteran Over A Service Dog
U4061,user_1,Tech,Apple To Buy Shazam Amid Rumors It Will Phase Out iTunes Downloads
U4254,user_1,Tech,This Is Why You Should Never Send A Terrorist Threat To An Airline On Twitter
U7040,user_1,Tech,Cyber Monday Deals: How To Find The Best Online Sales And Save Some Major Green
U1720,user_1,Tech,Google Mulls FTC Settlement Over Patents : WSJ
U2202,user_2,Crime,Woman Allegedly Steals Cash From Girl Who Lost Her Family In A Fire
U8311,user_2,Crime,Patton Oswalt Celebrates Michelle McNamara's Legacy After Arrest In 'Golden State Killer' Case
U8058,user_1,Tech,The 23 Funniest Tumblr Blogs That Will Make You LOL
U1905,user_1,Tech,Is BFD The Next LOL?
U4034,user_1,Tech,Microsoft's Windows 10 Is Now Running On 200 Million Devices
U4410,user_2,Crime,"Woman Wins $100,000 Lawsuit After Cops Arrested Her For Swearing"
U8256,user_2,Crime,"Man Faces Charges After Pulling Knife, Stun Gun On Muslim Students At McDonald's"
U5508,user_2,Crime,"Pilot In Fatal Hot Air Balloon Crash Had Drunk Driving, Drug Convictions"
U7166,user_3,Entertainment,Nine Reasons to go See Selma
U1671,user_2,Crime,When Mothers Kill
U6019,user_1,Tech,RIP Flash: Adobe Is Phasing Out The Much-Loathed Brand
U8020,user_3,Entertainment,Try To Keep Calm But K-Pop Band BTS Is Getting A Documentary Series
U1873,user_2,Crime,"4 Dead In Shooting Over Laundry, Police Say"
U2806,user_3,Entertainment,Lady Gaga Crushes On Cardi B's 'Bad Romance' Cover In High School
U1478,user_2,Crime,Nevada Man Gets 4 Years For Scams Using Fake Trump And Biden PACS
U8504,user_2,Crime,13-Year Old Vanishes After Cliff Jumping In Hawaii
U1698,user_2,Crime,"After LA Sheriff's Deputies Fatally Shoot A Man, His Family Claims Excessive Force"
U9223,user_1,Tech,The Surprising Thing You Never Noticed About Apple
U0511,user_2,Crime,"Christopher Swanson, Former Pennsylvania Teacher, Allegedly Put Suicide Note Online"
U3008,user_2,Crime,Accused Cop Killer Researched How To Elude Police Manhunts
U0237,user_3,Entertainment,Kanye West Gave The Most Kanye West Graduation Speech Ever
U3600,user_2,Crime,"Reginald Owen Sear Killed Bunnies In His Hands, Faces 2 Years In Florida Prison"
U7571,user_2,Crime,Suspect In Murder Of Louisiana Cop Arrested After Manhunt
U7168,user_2,Crime,Nicolas Cage Helps Raise Awareness About Missing Ohio Teen
U4313,user_2,Crime,REPORT: Jack The Ripper Finally Identified
U8192,user_2,Crime,Mother's Day When Your Mom's in Prison
U4045,user_1,Tech,Cincinnati Zoo Deletes Social Media Accounts Under Barrage Of Harambe Memes
U8896,user_2,Crime,6 Scary Stories That Will Make You Rethink The Black Hole That Is The Internet
U6964,user_2,Crime,Police Suspect 'Serial Bomber' In Deadly Austin Attacks
U0853,user_3,Entertainment,Dick Cheney Does Not Endorse Donald Trump (Yet)
U1139,user_2,Crime,Police Stood By As Mayhem Mounted in Charlottesville
U9047,user_1,Tech,Court Delivers Devastating Blow to Cellphone-Privacy Advocates
U1161,user_1,Tech,Instagram Android Signup Page Starts Accepting Registration Requests (PICTURE)
U1381,user_3,Entertainment,Ariana Grande Is 'Screaming' After Alexandria Ocasio-Cortez Gives Her Songs A Political Twist
U2188,user_1,Tech,Yahoo Hack Hit More Than 1 Billion Accounts
U4177,user_2,Crime,"Face Eating Attack In China: 'Dong,' Drunken Bus Driver, Allegedly Bites Woman 'Du's' Nose, Lips"
U6676,user_1,Tech,How Facebook is Responding to Fake News
U3000,user_3,Entertainment,Seth Rogen Lip-Syncing 'Hotline Bling' Is Seriously The Best
U5791,user_3,Entertainment,Omarion Wasn't Happy About Grammy Nomination Snub
U9001,user_1,Tech,Privacy Is More Than Locking Your Doors
U5131,user_3,Entertainment,Sandra Oh Is Red-Hot At 2019 SAG Awards In Glittering Gown
U4675,user_2,Crime,Dr. Phil Won't Pay In Defamation Case Over Natalee Holloway
U1283,user_3,Entertainment,"37 Reasons To Avoid The Outdoors, Or: What's New On Netflix In July"
U1495,user_3,Entertainment,'This Is Us' Is Finally Going To Tell Us How Jack Died
U6767,user_2,Crime,Suspect Arrested In Deadly College Shooting
U5514,user_1,Tech,Mark Zuckerberg Will Take 2 Months Of Paternity Leave
U2970,user_1,Tech,Theater Chain Backtracks On Worst Idea Ever
